--- HEAP SORT START ---
Initial:
| Position | Value | Explanation |
| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 12 | Root level. |
| 1 | 11, 13 | Children of previous level. Missing children shown as [ ]. |
| 2 | 10, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 11
Compare 11 with 13
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 11     | Swap 0 <-> 1 |
| 1       | 12     | Swap 0 <-> 1 |
| 2       | 13     | Swap 0 <-> 1 |
| 3       | 10     | Swap 0 <-> 1 |
| 4       | 9      | Swap 0 <-> 1 |
| 5       | 8      | Swap 0 <-> 1 |
| 6       | 7      | Swap 0 <-> 1 |
| 7       | 6      | Swap 0 <-> 1 |
| 8       | 5      | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 11 | Root level. |
| 1 | 12, 13 | Children of previous level. Missing children shown as [ ]. |
| 2 | 10, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Extract root to position 2 |
| 1       | 12     | Extract root to position 2 |
| 2       | 11     | Extract root to position 2 |
| 3       | 10     | Extract root to position 2 |
| 4       | 9      | Extract root to position 2 |
| 5       | 8      | Extract root to position 2 |
| 6       | 7      | Extract root to position 2 |
| 7       | 6      | Extract root to position 2 |
| 8       | 5      | Extract root to position 2 |
| 9       | 4      | Extract root to position 2 |
| 10      | 2      | Extract root to position 2 |
| 11      | 1      | Extract root to position 2 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 13 | Root level. |
| 1 | 12, 11 | Children of previous level. Missing children shown as [ ]. |
| 2 | 10, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 12
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 12     | Swap 0 <-> 1 |
| 1       | 13     | Swap 0 <-> 1 |
| 2       | 11     | Swap 0 <-> 1 |
| 3       | 10     | Swap 0 <-> 1 |
| 4       | 9      | Swap 0 <-> 1 |
| 5       | 8      | Swap 0 <-> 1 |
| 6       | 7      | Swap 0 <-> 1 |
| 7       | 6      | Swap 0 <-> 1 |
| 8       | 5      | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 12 | Root level. |
| 1 | 13, 11 | Children of previous level. Missing children shown as [ ]. |
| 2 | 10, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Extract root to position 1 |
| 1       | 12     | Extract root to position 1 |
| 2       | 11     | Extract root to position 1 |
| 3       | 10     | Extract root to position 1 |
| 4       | 9      | Extract root to position 1 |
| 5       | 8      | Extract root to position 1 |
| 6       | 7      | Extract root to position 1 |
| 7       | 6      | Extract root to position 1 |
| 8       | 5      | Extract root to position 1 |
| 9       | 4      | Extract root to position 1 |
| 10      | 2      | Extract root to position 1 |
| 11      | 1      | Extract root to position 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 13 | Root level. |
| 1 | 12, 11 | Children of previous level. Missing children shown as [ ]. |
| 2 | 10, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

--- COMPLETED ---
Final:
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Final state |
| 1       | 12     | Final state |
| 2       | 11     | Final state |
| 3       | 10     | Final state |
| 4       | 9      | Final state |
| 5       | 8      | Final state |
| 6       | 7      | Final state |
| 7       | 6      | Final state |
| 8       | 5      | Final state |
| 9       | 4      | Final state |
| 10      | 2      | Final state |
| 11      | 1      | Final state |
